date,sheet,items
2019-05-04,2019,封神演义Day9 | 迷雾侦探/ Tales of the Neon Sea
2019-05-05,2019,心灵砒霜155期 | 邮件24
2019-05-06,2019,封神演义Day10
2019-05-07,2019,录节目
2019-05-08,2019,封神演义Day11 | 迷雾侦探/ Tales of the Neon Sea | 大富翁
2019-05-09,2019,休息
2019-05-10,2019,封神演义Day12 | 迷雾侦探/ Tales of the Neon Sea | 地产巨头/ Rento Fortune | 看电影：一个叫欧维的男人
2019-05-11,2019,北京核聚变现场
2019-05-12,2019,封神演义Day12 | 心灵砒霜156期 | 邮件19
2019-05-13,2019,温克尔特:那家小店/ Winkeltje: The Little Shop
2019-05-14,2019,温克尔特:那家小店/ Winkeltje: The Little Shop | 唱歌
2019-05-15,2019,封神演义Day13 | 跟七号连线LOL
2019-05-16,2019,休息
2019-05-17,2019,封神演义Day14 | 瘟疫传说：无罪/ A Plague Tale: Innocence
2019-05-18,2019,语音连麦
2019-05-19,2019,心灵砒霜157期 | 邮件15
2019-05-20,2019,封神演义Day15 | 瘟疫传说：无罪/ A Plague Tale: Innocence
2019-05-21,2019,瘟疫传说：无罪/ A Plague Tale: Innocence
2019-05-22,2019,封神演义Day16 | 瘟疫传说：无罪/ A Plague Tale: Innocence
2019-05-23,2019,休息
2019-05-24,2019,童画车票，让爱回家 | 王国之心3/ Kingdom Hearts 3
2019-05-25,2019,请假
2019-05-26,2019,封神演义Day17 | 心灵砒霜158期 | 邮件18
2019-05-27,2019,盗贼之海/ Sea of Thieves
2019-05-28,2019,封神演义Day18 | 盗贼之海/ Sea of Thieves
2019-05-29,2019,盗贼之海/ Sea of Thieves
2019-05-30,2019,全面战争模拟器 / Totally Accurate Battle Simulator
2019-05-31,2019,聚餐
2019-06-01,2019,猫和老鼠
2019-06-02,2019,心灵砒霜159期 | 邮件17
2019-06-03,2019,盗贼之海/ Sea of Thieves
2019-06-04,2019,回家
2019-06-05,2019,
2019-06-06,2019,客厅户外
2019-06-07,2019,放假
2019-06-08,2019,料理模拟器/ Cooking Simulator
2019-06-09,2019,心灵砒霜160期 | 邮件11 | 料理模拟器/ Cooking Simulator
2019-06-10,2019,料理模拟器/ Cooking Simulator | 全面战争模拟器 / Totally Accurate Battle Simulator
