account,bvid,live_date,capture_window,title,pubdate,parts,duration_min,disposition,entries,note
bili-fan-kassytan,BV12c411J7xT,2023-04-24,2023-04-24 15:05→2023-04-24 19:33,【女流66】直播回放2023-04-24,2023-04-24 22:37,9,266,source-existing,2023-04-24-live-01|2023-04-24-live-02,整场录像跨越本日多个条目，本条目对应其中一段：2023-04-24-live-01、2023-04-24-live-02。
bili-fan-kassytan,BV1rh4y1n74j,2023-04-26,2023-04-26 14:21→2023-04-26 20:13,【女流66】直播回放2023-04-26,2023-04-26 23:48,11,352,source-existing,2023-04-26-live-01,
bili-fan-kassytan,BV1SX4y1m7RY,2023-04-27,2023-04-27 15:06→2023-04-27 19:04,【女流66】直播回放2023-04-27,2023-04-27 20:24,8,238,source-existing,2023-04-27-live-01,
bili-fan-kassytan,BV1hg4y1L7vG,2023-04-28,2023-04-28 15:18→2023-04-28 18:56,【女流66】直播回放2023-04-28,2023-04-28 21:47,7,218,source-existing,2023-04-28-live-01,
bili-fan-kassytan,BV18o4y1w7xp,2023-04-29,2023-04-29 15:03→2023-04-29 20:11,【女流66】直播回放2023-04-29,2023-04-29 22:19,10,308,source-existing,2023-04-29-live-01,
bili-fan-kassytan,BV1vk4y177d7,2023-04-30,2023-04-30 15:08→2023-04-30 19:32,【女流66】直播回放2023-04-30,2023-04-30 21:08,9,264,source-existing,2023-04-30-live-01,
bili-fan-kassytan,BV1ja4y1G79E,2023-05-01,2023-05-01 15:08→2023-05-01 19:58,【女流66】直播回放2023-05-01,2023-05-01 21:28,10,290,source-existing,2023-05-01-live-01,
bili-fan-kassytan,BV1VX4y1U7Ld,2023-05-03,2023-05-03 14:33→2023-05-03 21:05,【女流66】直播回放2023-05-03,2023-05-03 23:25,13,392,source-existing,2023-05-03-live-01,
bili-fan-kassytan,BV1Wk4y1j7nS,2023-05-04,2023-05-04 15:18→2023-05-04 20:20,【女流66】直播回放2023-05-04,2023-05-04 23:10,10,302,source-existing,2023-05-04-live-01,
bili-fan-kassytan,BV1YL411a7me,2023-05-05,2023-05-05 15:03→2023-05-05 19:52,【女流66】直播回放2023-05-05,2023-05-05 21:18,10,289,source-existing,2023-05-05-live-01,
bili-fan-kassytan,BV15z4y1a7H5,2023-05-06,2023-05-06 15:07→2023-05-06 19:26,【女流66】直播回放2023-05-06,2023-05-06 21:09,9,259,source-existing,2023-05-06-live-01,
bili-fan-zytau,BV1rP41117HA,2023-05-09,2023-05-09 15:04→2023-05-09 18:48,[2023-05-09 15-04-11][女流66][【今日双倍】156277直播间],2023-05-10 02:42,1,223,source-existing,2023-05-09-live-01,
bili-fan-kassytan,BV1QX4y1y7WQ,2023-05-12,2023-05-12 10:29→2023-05-12 11:27,【女流66】直播回放2023-05-12,2023-05-12 12:53,2,57,source-existing,2023-05-12-live-01,
bili-fan-kassytan,BV1Qh41157kq,2023-05-12,2023-05-12 11:50→2023-05-12 19:50,【女流66】直播回放2023-05-12,2023-05-12 22:31,16,479,source-existing,2023-05-12-live-01,
